Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
131078,2400,-800,573,2612465,1.7491321e+10,1.3415762,9.2651491,1.0515747,0.91823792,1.9468248,2615,2.1655502
131079,2400,-600,584,2724597.2,1.8755199e+10,1.3277544,9.4096203,1.0679718,0.92005974,1.9322877,2615,2.1659377
131080,2400,-400,597,2874942.2,2.0475841e+10,1.3218292,9.5268984,1.0812827,0.92152339,1.9208111,2615,2.1618307
131081,2400,-200,601,2949918.2,2.146852e+10,1.3152689,9.5866404,1.0880632,0.92226386,1.9150727,2615,2.162941
131082,2400,0,589,2898744.5,2.124508e+10,1.3003585,9.5786314,1.0871543,0.9221648,1.9158378,2615,2.1767588
131083,2400,200,548,2603854,1.8750921e+10,1.2665081,9.460084,1.0736995,0.92069119,1.9273145,2615,2.2162385
131084,2400,400,468,1962930.5,1.289448e+10,1.1983793,9.2130346,1.0456599,0.91757554,1.9521806,2615,2.2976291
131085,2400,600,384,1343740.4,7.6036398e+09,1.1131021,8.9750462,1.0186487,0.91451478,1.9774293,2615,2.3954649
131086,2400,800,315,956341.88,5.0982799e+09,0.78923589,9.4835587,1.0763637,0.92098409,1.9250191,2615,2.6540964
131087,2400,1000,255,535910.81,1.32096e+09,1.5630982,6.3644862,0.72235566,0.87613255,2.3783474,2615,2.2911091
131089,2400,1400,1469,9142086,6.9885796e+10,1.1787304,18.38913,2.087127,1.0065387,1.4770467,2615,1.8933367
131090,2400,1600,1474,9022973,6.8608999e+10,1.1699822,18.552786,2.1057017,1.0077913,1.4728385,2615,1.8968219
131091,2400,1800,1479,8917739,6.7481842e+10,1.1650472,18.673651,2.1194198,1.0087113,1.4697781,2615,1.8981348
131092,2400,2000,1485,8829405,6.6506838e+10,1.1638712,18.765339,2.1298261,1.0094064,1.4674828,2615,1.8969455
131093,2400,2200,1490,8750675,6.5678639e+10,1.1588538,18.888998,2.1438611,1.01034,1.4644223,2615,1.8983247
131094,2400,2400,1497,8695434,6.5039442e+10,1.1533587,19.045883,2.1616673,1.0115181,1.4605968,2615,1.8993782
131095,2400,2600,1505,8653201,6.4512401e+10,1.1516789,19.173281,2.1761265,1.0124696,1.4575363,2615,1.8978755
131096,2400,2800,1510,8618057,6.4129561e+10,1.1505995,19.253773,2.1852622,1.0130686,1.4556235,2615,1.8969611
131097,2400,3000,1515,8594103,6.3840199e+10,1.1494974,19.334944,2.1944749,1.0136707,1.4537108,2615,1.8960657
131098,2400,3200,1523,8602969,6.3849042e+10,1.1436058,19.515953,2.215019,1.0150068,1.4495027,2615,1.8970739
131099,2400,3400,1511,8419320,6.1721121e+10,1.1476542,19.302393,2.1907806,1.0134294,1.4544759,2615,1.8983908
131100,2400,3600,1517,8439722,6.1852242e+10,1.14633,19.400375,2.2019014,1.0141547,1.4521806,2615,1.8973149
131101,2400,3800,1519,8445165,6.1844681e+10,1.1458814,19.433258,2.2056334,1.0143975,1.4514154,2615,1.8969624
131102,2400,4000,1528,8509167,6.2323479e+10,1.1284014,19.768314,2.2436616,1.016855,1.4437643,2615,1.9046522
131103,2400,4200,1532,8546133,6.2559961e+10,1.1274846,19.836716,2.251425,1.0173531,1.4422342,2615,1.9039533
131104,2400,4400,1535,8596365,6.2970761e+10,1.1267873,19.888329,2.2572832,1.017728,1.4410864,2615,1.9034371
131105,2400,4600,1540,8685542,6.3845282e+10,1.1284653,19.940212,2.2631717,1.0181042,1.4399388,2615,1.9008621
131106,2400,4800,1543,8757644,6.4455401e+10,1.127743,19.992367,2.2690911,1.0184817,1.4387912,2615,1.9003683
131107,2400,5000,1546,8844926,6.5231319e+10,1.1270124,20.044794,2.2750413,1.0188605,1.4376434,2615,1.8998817
131108,2400,5200,1546,8925498,6.600344e+10,1.1284263,20.027287,2.2730546,1.0187341,1.4380261,2615,1.8990325
131109,2400,5400,1548,9036462,6.713208e+10,1.1279336,20.06233,2.2770319,1.0189871,1.4372609,2615,1.8987131
131110,2400,5600,1550,9167762,6.8541321e+10,1.1274372,20.097496,2.281023,1.0192405,1.4364958,2615,1.8983968
131111,2400,5800,1554,9309557,6.9870043e+10,1.1278353,20.150478,2.2870364,1.0196218,1.4353482,2615,1.8969377
131112,2400,6000,1558,9485470,7.1784677e+10,1.1268147,20.221556,2.2951035,1.0201323,1.4338179,2615,1.8963296
131113,2400,6200,1555,9586712,7.2782758e+10,1.1289752,20.150478,2.2870364,1.0196218,1.4353482,2615,1.8959568
131114,2400,6400,1558,9776709,7.4903601e+10,1.1282066,20.203739,2.2930815,1.0200045,1.4342004,2615,1.895504
196608,2600,-2000,525,2403904.5,1.525496e+10,1.5382012,8.2933969,0.94128299,0.90539962,2.057766,2615,2.0808258
196609,2600,-1800,531,2379884.2,1.501432e+10,1.5341928,8.3507805,0.94779587,0.90618807,2.0504973,2615,2.0787985
196610,2600,-1600,536,2358906.2,1.482896e+10,1.5257733,8.4244099,0.95615262,0.90719384,2.041316,2615,2.0791311
196611,2600,-1400,546,2372974,1.487056e+10,1.5246873,8.4899092,0.96358663,0.90808308,2.0332823,2615,2.0739853
196612,2600,-1200,555,2395487.2,1.505128e+10,1.513164,8.601367,0.97623682,0.90958452,2.0198929,2615,2.0738034
196613,2600,-1000,560,2420711.5,1.538124e+10,1.3829985,8.9540195,1.0162622,0.91424149,1.9797245,2615,2.155844
196614,2600,-800,576,2506688.2,1.605784e+10,1.3721861,9.121418,1.0352615,0.91640431,1.9617444,2615,2.1508341
196615,2600,-600,591,2619386,1.712604e+10,1.3516107,9.3330259,1.0592786,0.91909647,1.9399388,2615,2.1512024
196616,2600,-400,609,2791420.2,1.887172e+10,1.335366,9.5387869,1.0826321,0.92167103,1.9196633,2615,2.1489844
196617,2600,-200,630,2998725.2,2.0981361e+10,1.3355018,9.6797142,1.098627,0.92341065,1.906274,2615,2.137934
196618,2600,0,627,3042484.2,2.173192e+10,1.3267995,9.7042933,1.1014166,0.92371213,1.9039786,2615,2.1437035
196619,2600,200,600,2890463.8,2.0678879e+10,1.3032433,9.6390266,1.094009,0.92291033,1.9100995,2615,2.1695139
196620,2600,400,528,2381022.5,1.64266e+10,1.2440212,9.4250898,1.0697277,0.92025357,1.9307574,2615,2.2391725
196621,2600,600,432,1636691.5,9.84448e+09,1.1593395,9.1250477,1.0356735,0.91645086,1.9613619,2615,2.3404236
196622,2600,800,338,1048883.4,5.55584e+09,0.81646109,9.5666437,1.0857936,0.92201644,1.9169855,2615,2.6220222
196623,2600,1000,256,515256.12,1.22344e+09,1.5634512,6.3751025,0.72356057,0.87631088,2.3760521,2615,2.2891917
196625,2600,1400,1469,8920878,6.6843001e+10,1.1787304,18.38913,2.087127,1.0065387,1.4770467,2615,1.8933367
196626,2600,1600,1475,8799865,6.5567199e+10,1.1697915,18.567808,2.1074069,1.007906,1.472456,2615,1.8966199
196627,2600,1800,1481,8692810,6.4438919e+10,1.1646588,18.704115,2.1228771,1.0089425,1.469013,2615,1.8977355
196628,2600,2000,1487,8600776,6.3456719e+10,1.1634719,18.796101,2.1333175,1.009639,1.4667177,2615,1.8965552
196629,2600,2200,1496,8538333,6.2742442e+10,1.1576276,18.982819,2.1545095,1.0110453,1.462127,2615,1.8971735
196630,2600,2400,1503,8471876,6.2005441e+10,1.1521043,19.141272,2.1724937,1.012231,1.4583014,2615,1.8982466
196631,2600,2600,1510,8434268,6.1580481e+10,1.1505995,19.253773,2.1852622,1.0130686,1.4556235,2615,1.8969611
196632,2600,2800,1515,8392715,6.1112758e+10,1.1494974,19.334944,2.1944749,1.0136707,1.4537108,2615,1.8960657
196633,2600,3000,1523,8379720,6.087288e+10,1.1476868,19.466251,2.209378,1.0146408,1.4506503,2615,1.8946729
196634,2600,3200,1530,8384599,6.086416e+10,1.1419852,19.632914,2.2282939,1.0158656,1.4468248,2615,1.8958807
196635,2600,3400,1518,8203699,5.8806079e+10,1.1461061,19.416803,2.2037659,1.014276,1.451798,2615,1.8971384
196636,2600,3600,1528,8249897.5,5.9156201e+10,1.1269537,19.78537,2.2455974,1.0169793,1.4433818,2615,1.9055374
196637,2600,3800,1535,8297924,5.9555361e+10,1.1253436,19.905594,2.2592425,1.0178533,1.4407039,2615,1.9043174
196638,2600,4000,1539,8319800.5,5.957324e+10,1.1258451,19.957567,2.2651412,1.01823,1.4395562,2615,1.9027596
196639,2600,4200,1543,8367674,5.9980202e+10,1.1248882,20.027287,2.2730546,1.0187341,1.4380261,2615,1.9020942
196640,2600,4400,1548,8433223,6.048564e+10,1.1236715,20.115126,2.2830241,1.0193675,1.4361132,2615,1.9012798
196641,2600,4600,1550,8502286,6.1183758e+10,1.1260256,20.115126,2.2830241,1.0193675,1.4361132,2615,1.8992432
196642,2600,4800,1553,8577528,6.1825479e+10,1.1252759,20.1682,2.289048,1.0197493,1.4349656,2615,1.8987727
196643,2600,5000,1553,8646654,6.2457082e+10,1.1252759,20.1682,2.289048,1.0197493,1.4349656,2615,1.8987727
196644,2600,5200,1557,8766956,6.3643161e+10,1.1256711,20.221556,2.2951035,1.0201323,1.4338179,2615,1.8973144
196645,2600,5400,1555,8845290,6.4427082e+10,1.1261803,20.185955,2.2910628,1.0198768,1.4345831,2615,1.89762
196646,2600,5600,1560,8996305,6.5871118e+10,1.1249005,20.275194,2.3011913,1.0205166,1.4326702,2615,1.8968621
196647,2600,5800,1562,9138291,6.7307799e+10,1.1257794,20.293137,2.3032279,1.020645,1.4322877,2615,1.895734
196648,2600,6000,1561,9268737,6.8725203e+10,1.1260395,20.275194,2.3011913,1.0205166,1.4326702,2615,1.8958818
196649,2600,6200,1558,9378341,6.9795643e+10,1.1282066,20.203739,2.2930815,1.0200045,1.4342004,2615,1.895504
196650,2600,6400,1563,9595353,7.2200602e+10,1.1269072,20.293137,2.3032279,1.020645,1.4322877,2615,1.8947648
262144,2800,-2000,527,2353213,1.46062e+10,1.5454577,8.26649,0.93822908,0.90502846,2.061209,2615,2.0771844
262145,2800,-1800,532,2319270.8,1.427952e+10,1.5427417,8.3114328,0.94332999,0.90564787,2.0554705,2615,2.0751939
262146,2800,-1600,541,2311992.2,1.412032e+10,1.5403966,8.3782406,0.95091248,0.90656394,2.0470543,2615,2.0708592
262147,2800,-1400,550,2316245,1.408292e+10,1.5389625,8.4399128,0.95791221,0.90740478,2.0394032,2615,2.0663073
262148,2800,-1200,559,2328577.2,1.413492e+10,1.5318511,8.5309687,0.96824682,0.90863788,2.0283091,2615,2.0640221
262149,2800,-1000,571,2373320,1.445732e+10,1.5219055,8.6532993,0.98213112,0.91027915,2.013772,2615,2.0615551
262150,2800,-800,584,2442491.5,1.501644e+10,1.3960749,9.0387249,1.025876,0.91533965,1.9705433,2615,2.1372311
262151,2800,-600,594,2504964.5,1.55554e+10,1.3818856,9.1871967,1.0427274,0.9172461,1.9548584,2615,2.1368971
262152,2800,-400,618,2677478,1.703432e+10,1.3565594,9.4874821,1.076809,0.92103297,1.9246366,2615,2.1344779
